id;annotator;c_act_0;c_act_1;c_act_1a_0;c_act_1a_1;c_act_1a_2;c_act_1a_3;c_act_1a_4;c_act_1a_mark_0;c_act_1a_mark_1;c_act_1a_mark_2;c_act_1a_mark_3;c_act_1a_mark_4;c_act_1b_0;c_act_1b_1;c_act_1b_2;c_act_1b_3;c_act_1b_4;c_act_1b_mark_0;c_act_1b_mark_1;c_act_1b_mark_2;c_act_1b_mark_3;c_act_1b_mark_4;c_act_2;c_act_2a_0;c_act_2a_1;c_act_2a_2;c_act_2a_3;c_act_2a_4;c_act_2a_mark_0;c_act_2a_mark_1;c_act_2a_mark_2;c_act_2a_mark_3;c_act_2a_mark_4;c_act_2b_0;c_act_2b_1;c_act_2b_2;c_act_2b_3;c_act_2b_4;c_act_3;c_act_3a_0;c_act_3a_1;c_act_3a_2;c_act_3a_3;c_act_3a_4;c_act_3a_mark_0;c_act_3a_mark_1;c_act_3a_mark_2;c_act_3a_mark_3;c_act_3a_mark_4;c_act_3b_0;c_act_3b_1;c_act_3b_2;c_act_3b_3;c_act_3b_4;c_act_4;c_amp;c_contr;c_emo_1;c_emo_1_mark;c_emo_2a;c_emo_2a_mark;c_emo_2b;c_emo_3;c_mod;c_ne_1_0;c_ne_1_1;c_ne_1_2;c_ne_1_3;c_ne_1_4;c_ne_1_5;c_ne_2_0;c_ne_2_1;c_ne_2_2;c_ne_2_3;c_ne_2_4;c_ne_2_5;c_ne_2_mark_0;c_ne_2_mark_1;c_ne_2_mark_2;c_ne_2_mark_3;c_ne_2_mark_4;c_ne_2_mark_5;c_ne_3_0;c_ne_3_1;c_ne_3_2;c_ne_3_3;c_ne_3_4;c_ne_3_5;c_ne_4_0;c_ne_4_1;c_ne_4_2;c_ne_4_3;c_ne_4_4;c_ne_4_5;c_ne_4_mark_0;c_ne_4_mark_1;c_ne_4_mark_2;c_ne_4_mark_3;c_ne_4_mark_4;c_ne_4_mark_5;c_ne_5_0;c_ne_5_1;c_ne_5_2;c_ne_5_3;c_ne_5_4;c_ne_5_5;c_ne_5_mark_0;c_ne_5_mark_1;c_ne_5_mark_2;c_ne_5_mark_3;c_ne_5_mark_4;c_ne_5_mark_5;c_ne_6_0;c_ne_6_1;c_ne_6_2;c_ne_6_3;c_ne_6_4;c_ne_6_5;c_ne_7_0;c_ne_7_1;c_ne_7_2;c_ne_7_3;c_ne_7_4;c_ne_7_5;c_pe_1_0;c_pe_1_1;c_pe_1_2;c_pe_2_0;c_pe_2_1;c_pe_2_2;c_pe_2_mark_0;c_pe_2_mark_1;c_pe_2_mark_2;c_pe_3_0;c_pe_3_1;c_pe_3_2;c_pe_4_0;c_pe_4_1;c_pe_4_2;c_pe_4_mark_0;c_pe_4_mark_1;c_pe_4_mark_2;c_pe_5_0;c_pe_5_1;c_pe_5_2;c_refc;c_refn;c_topic;c_usmod
2;4;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;99;0;;;;;;;1;;;;;;111;;;;;;Schwarzarbeiter;;;;;;1;;;;;;4;;;;;;Schwarzarbeit  ist  kriminell.;;;;;;99;;;;;;;;;;;;0;;;;;;0;;;;;;0;;;;;;;;;;;;;;;;;;;;;0;2;7;1
3;4;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;;;;;;;2;;;;;;13;;;;;;;;;;;;1;;;;;;99;;;;;;;;;;;;99;;;;;;;;;;;;1;;;;;;0;;;;;;0;;;;;;;;;;;;;;;;;;;;;2;0;99;1
4;4;1;;2;;;;;Ich  hoffe  wir  denken  endlich  um.;;;;;;;;;;;;;;;;3;;;;;wir;;;;;2;;;;;;111;;;;;Schwarzarbeitern,  Kindern  in  Fabriken  Ausgebeuteten;;;;;2;;;;;;0;0;1;Sch****ße  das  hat  Hilfe  verdient,;111;Schwarzarbeitern,  Kindern  in  Fabriken  das  Ausgebeuteten;2;0;;2;2;;;;;12;13;;;;;Kapitalismus.;Du;;;;;2;1;;;;;3;30;;;;;Das  die  die  das  ermöglichen  dabei  drauf  gehen  scheint  bei  sog.  Schwarzarbeitern,  Kindern  in  Fabriken  oder  unsere  Umwelt  egal  zu  sein.  Finger  in  die  blutig  eitrigen  Wunden  des  Kapitalismus.  Ausgebeuteten;PS  Wenigstens  sind  die  Firmen  die  das  so  billig  anbieten  legal.  Und  wahrscheinlich  verdienen  Ihre  Chefs  und  Manger  deswegen  so  viel  weil  Sie  nämlich  keine  Kriminellen  sind  oder  ?  /Ironie  off;;;;;111;0;;;;;Schwarzarbeitern,  Kindern  in  Fabriken  Ausgebeuteten;;;;;;0;1;;;;;1;0;;;;;0;;;;;;;;;;;;;;;;;;;;;2;4;8;1
5;4;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;;;;;;;2;1;;;;;13;111;;;;;„Sog.  Schwarzarbeiter“  zu  stellen,  finde  ich  jetzt  schon  etwas  dreist.  Also  mit  Sympathien  für  „sog.  Straftäter“  die  Systemfrage;Immerhin  hinterziehen  auch  ihre  „sog.  Ausgebeuteten“  ihre  Sozialleistungen  und  privatisieren  damit  ihre  Gewinne.  Die  Verluste  hingegen  sollen  jetzt  wieder  vergesellschaftet  werden...;;;;;1;2;;;;;30;[4, 5];;;;;„Sog.  Schwarzarbeiter“  zu  stellen,  finde  ich  jetzt  schon  etwas  dreist.  Also  mit  Sympathien  für  „sog.  Straftäter“  die  Systemfrage;Immerhin  hinterziehen  auch  ihre  „sog.  Ausgebeuteten“  ihre  Sozialleistungen  und  privatisieren  damit  ihre  Gewinne.  Die  Verluste  hingegen  sollen  jetzt  wieder  vergesellschaftet  werden...;;;;;0;3;;;;;;Verluste  vergesellschaftet  werden...;;;;;0;0;;;;;0;0;;;;;0;;;;;;;;;;;;;;;;;;;;;2;0;8;1
6;4;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;;;;;;;2;1;;;;;13;224;;;;;Das  sind  keine  seine  eigene  Entscheidung.  Ich  bin  nicht  dafür  verantwortlich,  Zwangsarbeiter.  dass  so  miserabel  geführt  wird,  dass  die  Bewohner  lieber  im  Ausland  ohne  Absicherung  schuften.;Ukraine;;;;;1;2;;;;;99;1;;;;;;dass  die  Ukraine  so  miserabel  geführt  wird,  dass  die  Bewohner  lieber  im  Ausland  ohne  Absicherung  schuften.;;;;;0;111;;;;;;die  Bewohner;;;;;0;0;;;;;0;0;;;;;0;;;;;;;;;;;;;;;;;;;;;2;0;8;1
7;4;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;;;;;;;99;;;;;;99;;;;;;;;;;;;99;;;;;;99;;;;;;;;;;;;99;;;;;;;;;;;;99;;;;;;0;;;;;;0;;;;;;;;;;;;;;;;;;;;;1;0;99;1
8;4;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;99;0;;;;;;;2;;;;;;13;;;;;;Beides  zu  vermengen  ist  Blödsinn.;;;;;;1;;;;;;99;;;;;;Beides  zu  vermengen  ist  Blödsinn.;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;0;;;;;;;;;;;;;;;;;;;;;2;4;99;1
9;4;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;;;;;;;2;1;;;;;13;2;;;;;Bananenkönig-Sie  irgendjemand(vielleicht  auch  Sie?)Mit;sind  westliche  Systemideologen  und  westliche  Politiker,die  westlichen  Politiker  wird.Es;;;;;1;2;;;;;3;99;;;;;Europa.Aber  diese  westlichen  Politiker  wählt  irgendjemand(vielleicht  auch  Sie?)Mit  der  Verantwortung  ist  so  eine  Sache!;Politiker,die  den  Ukrainer  permanent  predigen,dass  sie  ein  Teil  der  westlichen  Zivilisation  seien.Hauptsache  man  spaltet  die  östlich  Christliche  Zivilisation.Millionen;;;;;111;1;;;;;die;östlich  Christliche  Zivilisation.Millionen  von  Ukrainer;;;;;1;0;;;;;0;0;;;;;0;;;;;;;;;;;;;;;;;;;;;2;0;99;1
10;4;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;;;;;;;1;;;;;;13;;;;;;Da  du  den  Zusammenhang  offensichtlich  nicht  verstehst:;;;;;;1;;;;;;3;;;;;;Da  du  den  Zusammenhang  offensichtlich  nicht  verstehst:;;;;;;0;;;;;;;;;;;;1;;;;;;0;;;;;;0;;;;;;;;;;;;;;;;;;;;;2;0;99;1
11;4;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;;;;;;;99;;;;;;99;;;;;;;;;;;;99;;;;;;99;;;;;;;;;;;;99;;;;;;;;;;;;99;;;;;;0;;;;;;99;;;99;;;;;;99;;;99;;;;;;99;;;2;0;99;1
