id;content;user_id;date;article_id;direct_parent_id;internal_id;outlet;outlet2;type;type2;length;words;no_thread;no_replies
1;https://www.zeit.de/2020/19/schwarzarbeiter-corona-krise-unterstuetzung-shutdown-nothilfe;user_none;2020-04-30 12:44:12;r1_1_article_29;;r1_1_article_29;zeit;2;article;1;4720;680;0;
2;OK, Unterstützung für Schwarzarbeiter wäre jetzt da letzte, was ich erwarten würde. Schwarzarbeit ist kriminell. Ich unterstütze auch keine Einbrecher, die jetzt wohl auch weniger Umsatz machen, weil die Leute meist zu Hause sind. Auch da finden sich sicher Leute, die aufgrund der Umstände in ihren Heimatländern in die Kriminalität gezwungen sind. ;user_306;;r1_1_article_29;r1_1_article_29;r1_1_comment_7622;zeit;2;comment;2;350;52;22;
3;"Auf das Problem hat schon der Postillon aufmerksam gemacht ""Der Branchenverband der Berufseinbrecher (VBE) schl<U+FFFD>gt Alarm: Demnach bef<U+FFFD>rchten viele professionelle Einbrecher derzeit Umsatzverluste in Millionenh<U+FFFD>he, weil immer mehr Menschen aufgrund des Coronavirus in ihren eigenen vier W<U+FFFD>nden bleiben. ... Deshalb seien staatliche Hilfen f<U+FFFD>r die gesamte Branche unausweichlich. "" https://www.der-postillon.co<U+FFFD> + 27 Weitere Antworten anzeigen ";user_798;;r1_1_article_29;r1_1_comment_7622;r1_1_comment_7623;zeit;2;reply;3;442;55;22;1
4;Hauptsache billige Häuser bauen, billige T-Shirts kaufen, billige Flugreisen in günstige Länder und leckeren Spargel essen. Das die die das ermöglichen dabei drauf gehen scheint bei sog. Schwarzarbeitern, Kindern in Fabriken oder unsere Umwelt egal zu sein. 10 Stunden Bau und am Ende keine Rente, Sch****ße das hat Hilfe verdient, mehr als so manchen Firma die sogar noch Dividenden auszahlt. Corona verdammt, niemand legt so gnadenlos den Finger in die blutig eitrigen Wunden des Kapitalismus. All die Ausgebeuteten müssen jetzt im Detail gerechtfertigt hängen gelassen werden oder sollten Hilfe bekommen damit Du gehst. Ich hoffe ehrlich die Opfer dafür werden nicht umsonst sein. Ich hoffe wir denken endlich um. PS Wenigstens sind die Firmen die das so billig anbieten legal. Und wahrscheinlich verdienen Ihre Chefs und Manger deswegen so viel weil Sie nämlich keine Kriminellen sind oder ? /Ironie off ;user_970;;r1_1_article_29;r1_1_comment_7622;r1_1_comment_7624;zeit;2;reply;3;908;140;22;2
5;Sog. Schwarzarbeiter Also mit Sympathien für sog. Straftäter die Systemfrage zu stellen, finde ich jetzt schon etwas dreist. Immerhin hinterziehen auch ihre sog. Ausgebeuteten ihre Sozialleistungen und privatisieren damit ihre Gewinne. Die Verluste hingegen sollen jetzt wieder vergesellschaftet werden... ;user_799;;r1_1_article_29;r1_1_comment_7624;r1_1_comment_7625;zeit;2;reply;3;312;39;22;3
6;Das sind keine Zwangsarbeiter. Wenn jemand sich ausrechnet, dass er lieber im Ausland illegal arbeitet anstatt in seinem Heimatland, dann ist das seine eigene Entscheidung. Ich bin nicht dafür verantwortlich, dass die Ukraine so miserabel geführt wird, dass die Bewohner lieber im Ausland ohne Absicherung schuften. ;user_800;;r1_1_article_29;r1_1_comment_7624;r1_1_comment_7626;zeit;2;reply;3;316;46;22;4
7;Systemkritik 100%, Eigenverantwortung 0%. Manche machen sich die Welt halt einfach... ;user_804;;r1_1_article_29;r1_1_comment_7625;r1_1_comment_7627;zeit;2;reply;3;86;11;22;5
8;//Hauptsache billige Häuser bauen, billige T-Shirts...// *seufz* okay etwas einfacher: Das was Sie beschreiben ist erlaubt (sein Geld wirtschaftlich verwenden). Das was im Artikel beschrieben ist, ist nicht erlaubt (Einkommen nicht versteuern). Beides zu vermengen ist Blödsinn. ;user_2642;;r1_1_article_29;r1_1_comment_7624;r1_1_comment_7628;zeit;2;reply;3;279;37;22;6
9;Bananenkönig-Sie sind nicht verantwortlich,dass die Ukraine so miserabel geführt wird.Es sind westliche Systemideologen und westliche Politiker,die den Ukrainer permanent predigen,dass sie ein Teil der westlichen Zivilisation seien.Hauptsache man spaltet die östlich Christliche Zivilisation.Millionen von Ukrainer arbeiten illegal irgendwo in Europa.Aber diese westlichen Politiker wählt irgendjemand(vielleicht auch Sie?)Mit der Verantwortung ist so eine Sache! ;user_668;;r1_1_article_29;r1_1_comment_7626;r1_1_comment_7629;zeit;2;reply;3;464;53;22;7
10;Da du den Zusammenhang offensichtlich nicht verstehst: Wie denkst du drückt man Preise auf dem Bau? Genau! Mit Schwarzarbeitern! Dein Eigenheim wird teurer wenn du es von legalen Fachkräften bauen lässt anstatt von Schwarzarbeitern. Freut mich das ich dir helfen konnte :) ;user_801;;r1_1_article_29;r1_1_comment_7628;r1_1_comment_7630;zeit;2;reply;3;273;42;22;8
11;Nach ein wenig Kenntnisnahme vor Ort haben mich billige T-Shirts absolut überzeugt. Mir ist es nämlich lieber, wenn Familien ihre 14jährigen Töchter in die Textilfabrik schicken als sie täglich an 5-10 Männer zu vergeben. DAS ist die Realität. ;user_918;;r1_1_article_29;r1_1_comment_7624;r1_1_comment_7631;zeit;2;reply;3;244;38;22;9
12;Die Ukrainer scheinen allesamt ganz schön dämlich zu sein wenn sie ausländische Politiker brauchen um rauszufinden was sie tun sollen. In dem Fall haben sie genau diese Situation verdient. Keine Ahnung warum du dann auch noch mit Religion anfängst. Für den Hatrick hätte es noch einen dritten Quatsch gebraucht. ;user_801;;r1_1_article_29;r1_1_comment_7629;r1_1_comment_7632;zeit;2;reply;3;312;49;22;10
13;> Hauptsache billige Häuser bauen > *seufz* okay etwas einfacher: > Das was Sie beschreiben ist erlaubt (sein Geld wirtschaftlich verwenden). Nächstes mal etwas weniger einfach machen und statt dem seufzen das Hirn nutzen: Billig Häuser bauen aka Schwarzarbeiter nutzen (denn dadurch wird die Handwerker-Dienstleistung ja billig) ist natürlich nicht erlaubt. Wie diverse Vorposter schon ignorieren Sie bequem, dass zu Schwarzarbeit zwei Seiten gehören und schieben alles auf eine Seite ab. ;user_1301;;r1_1_article_29;r1_1_comment_7628;r1_1_comment_7633;zeit;2;reply;3;490;71;22;11
14;"""in die Kriminalität gezwungen"" ist ja auch so ein Euphemismus. Wer zwingt einen denn? Es gibt ja eigentlich auch immer legale Entscheidungsmöglichkeiten. ";user_1252;;r1_1_article_29;r1_1_comment_7622;r1_1_comment_7634;zeit;2;reply;3;155;22;22;12
15;Wir sind hier bei der Zeit, also wird der Spin wahrscheinlich sein, dass alle Schwarzarbeiter hierzulande ganz arme Schlucker aus fernen Ländern sind, die gar keine andere Chance haben und quasi zur Schwarzarbeit gewzungen werden. (Fügen sie hier Tränen-Emoji ein) ;user_517;;r1_1_article_29;r1_1_comment_7622;r1_1_comment_7635;zeit;2;reply;3;265;40;22;13
16;Schwarzarbeit ist Steuerhinterziehung. Das Kurzarbeitergeld ist eine Versicherungsleistung der Arbeitslosenversicherung. Schwarzarbeit bedeutet illegal diese Sozialversicherungsbeiträge nicht zu entrichten. Und jetzt kommen Steuerhinterzieher, die wissentlich genau auf diese Versicherungsleistung verzichtet haben, und beklagen sich, dass sie ebendiese Versicherungsleistung nicht erhalten? Guter Witz! ;user_802;;r1_1_article_29;r1_1_comment_7622;r1_1_comment_7636;zeit;2;reply;3;404;41;22;14
