"id";"annotator";"c_usmod";"c_mod1";"c_mod0";"c_refc";"c_topic";"c_amp";"c_act";"c_act_1a";"c_act_1a_mark";"c_act_1b";"c_act_1b_mark";"c_act_2a";"c_act_2a_mark";"c_act_2b";"c_act_3a";"c_act_3a_mark";"c_act_3b";"c_contr";"c_emo_1";"c_emo_1_mark";"c_emo_2a";"c_emo_2a_mark";"c_emo_2b";"c_emo_3";"c_ne_1_0";"c_ne_1_1";"c_ne_1_2";"c_ne_1_3";"c_ne_1_4";"c_ne_2_0";"c_ne_2_1";"c_ne_2_2";"c_ne_2_3";"c_ne_2_4";"c_ne_2_mark_0";"c_ne_2_mark_1";"c_ne_2_mark_2";"c_ne_2_mark_3";"c_ne_2_mark_4";"c_ne_3_0";"c_ne_3_1";"c_ne_3_2";"c_ne_3_3";"c_ne_3_4";"c_ne_4_0";"c_ne_4_1";"c_ne_4_2";"c_ne_4_3";"c_ne_4_4";"c_ne_4_mark_0";"c_ne_4_mark_1";"c_ne_4_mark_2";"c_ne_4_mark_3";"c_ne_4_mark_4";"c_ne_5_0";"c_ne_5_1";"c_ne_5_2";"c_ne_5_3";"c_ne_5_4";"c_ne_5_mark_0";"c_ne_5_mark_1";"c_ne_5_mark_2";"c_ne_5_mark_3";"c_ne_5_mark_4";"c_ne_6_0";"c_ne_6_1";"c_ne_6_2";"c_ne_6_3";"c_ne_6_4";"c_ne_7_0";"c_ne_7_1";"c_ne_7_2";"c_ne_7_3";"c_ne_7_4";"c_pe_1_0";"c_pe_1_1";"c_pe_1_2";"c_pe_1_3";"c_pe_2_0";"c_pe_2_1";"c_pe_2_2";"c_pe_2_3";"c_pe_2_mark_0";"c_pe_2_mark_1";"c_pe_2_mark_2";"c_pe_2_mark_3";"c_pe_3_0";"c_pe_3_1";"c_pe_3_2";"c_pe_3_3";"c_pe_4_0";"c_pe_4_1";"c_pe_4_2";"c_pe_4_3";"c_pe_4_mark_0";"c_pe_4_mark_1";"c_pe_4_mark_2";"c_pe_4_mark_3";"c_pe_5_0";"c_pe_5_1";"c_pe_5_2";"c_pe_5_3";"c_act_0";"c_act_1";"c_act_2";"c_act_3";"c_act_1a_0";"c_act_1a_1";"c_act_1a_2";"c_act_1a_3";"c_act_1a_mark_0";"c_act_1a_mark_1";"c_act_1a_mark_2";"c_act_1a_mark_3";"c_act_1b_0";"c_act_1b_1";"c_act_1b_2";"c_act_1b_3";"c_act_1b_mark_0";"c_act_1b_mark_1";"c_act_1b_mark_2";"c_act_1b_mark_3";"c_act_2a_0";"c_act_2a_1";"c_act_2a_2";"c_act_2a_3";"c_act_2a_mark_0";"c_act_2a_mark_1";"c_act_2a_mark_2";"c_act_2a_mark_3";"c_act_2b_0";"c_act_2b_1";"c_act_2b_2";"c_act_2b_3";"c_act_3a_0";"c_act_3a_1";"c_act_3a_2";"c_act_3a_3";"c_act_3a_mark_0";"c_act_3a_mark_1";"c_act_3a_mark_2";"c_act_3a_mark_3";"c_act_3b_0";"c_act_3b_1";"c_act_3b_2";"c_act_3b_3"
2;3;1;;4;0;1;0;0;;;;;;;;;;;0;0;;;;;;1;;;;;1;;;;;"l'immigration  200  000  migrants  par  an";;;;;2;;;;;7;;;;;"de  cette  façon  l'immigration  deviendra  supportable.";;;;;3;;;;;"""chances  pour  la  France"".";;;;;1;;;;;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;3;1;;4;0;1;0;0;;;;;;;;;;;0;2;"Parfait,";3;;2;0;1;;;;;1;;;;;"s'ils";;;;;2;;;;;4;;;;;"s'entre-tuent";;;;;0;;;;;;;;;;0;;;;;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;3;1;;4;0;1;0;0;;;;;;;;;;;0;2;"Chouette";99;;2;0;2;;;;;1;;;;;2;;;;;1;;;;;4;;;;;"2  de  moins.";;;;;0;;;;;;;;;;0;;;;;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;3;1;;4;0;1;0;0;;;;;;;;;;;5;0;;;;;;2;2;;;;1;217;;;;"des  problèmes.";"La  france";;;;2;1;;;;7;5;;;;"importer  des  problèmes.  -  2";"dépense  beaucoup  d'argent";;;;99;3;;;;;;;;;0;0;;;;0;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;3;1;;4;0;2;0;0;;;;;;;;;;;0;0;;;;;;1;;;;;1;;;;;"Qu'ils  ils";;;;;2;;;;;4;;;;;"Nous  avons  suffisamment  de  racailles  sans  en  importer  de  nouvelles.";;;;;3;;;;;"Nous  à  domicile";;;;;0;;;;;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;3;1;;4;0;1;0;0;;;;;;;;;;;0;0;;;;;;2;;;;;1;;;;;-2;;;;;1;;;;;7;;;;;;;;;;0;;;;;;;;;;0;;;;;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;3;1;;4;0;1;0;1;5;"Il  faut  le  garder!";;;3;;1;99;"le  garder!";2;0;0;;;;;;2;;;;;1;;;;;;;;;;2;;;;;4;;;;;;;;;;0;;;;;;;;;;1;;;;;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;5;;;;"Il  faut  le  garder!";;;;;;;;;;;;3;;;;;;;;1;;;;99;;;;"le  garder!";;;;2;;;
9;2;1;;4;0;2;0;1;3;"les  ramener  chez  eux";;;99;;99;1;"eux  ils";2;0;0;;;;;;2;;;;;1;;;;;"eux  leur  bien  ils";;;;;2;;;;;99;;;;;;;;;;3;;;;;"en  France";;;;;1;;;;;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;3;;;;"les  ramener  chez  eux";;;;;;;;;;;;99;;;;;;;;99;;;;1;;;;"eux  ils";;;;2;;;
11;2;1;;4;0;7;0;0;;;;;;;;;;;5;0;;;;;;1;1;;;;1;225;;;;"tout  ce  monde  migronavirus";"les  ritals";;;;2;2;;;;7;1;;;;"viendra  faire  nos  récoltes,  migronavirus  pas  de  passeport,";;;;;3;3;;;;;"nos  récoltes,";;;;0;1;;;;0;1;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;2;1;;4;0;7;0;0;;;;;;;;;;;0;0;;;;;;1;2;;;;225;1;;;;"l’agriculture  italienne";"450.000  en  attente  de  régularisation,";;;;2;2;;;;2;5;;;;"main-d’œuvre  sous-payée,";"les  aides  sociales  qui  vont  avec  la  régularisation,  c’est  l’État  qui  paye,";;;;1;99;;;;"main-d’œuvre  sous-payée,";;;;;0;1;;;;0;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
