id;content;user_id;date;article_id;direct_parent_id;internal_id;outlet;outlet2;type;type2;length;words;no_thread;no_replies
1;https://www.valeursactuelles.com/faits-divers/un-migrant-en-tue-deux-autres-coups-de-couteau-dans-un-foyer-119482?page=0;;2020-05-19 15:11:05;r1_valeurs_actuelles_article_32;;r1_valeurs_actuelles_article_32;valeursactuelles;11;article;1;1839;322;0;
2;"Deux de moins. 200 000 migrants par an si tous agissent de la même façon, il en restera 66 000, de cette façon l'immigration deviendra supportable. des ""chances pour la France"".";valeurs_actuelles_user_28;2020-05-20 18:56:00;r1_valeurs_actuelles_article_32;r1_valeurs_actuelles_article_32;r1_valeurs_actuelles_comment_488;valeursactuelles;11;comment;2;177;30;8;
3;Parfait, s'ils s'entre-tuent !;valeurs_actuelles_user_52;2020-05-20 13:08:00;r1_valeurs_actuelles_article_32;r1_valeurs_actuelles_article_32;r1_valeurs_actuelles_comment_489;valeursactuelles;11;comment;2;30;3;7;
4;Chouette 2 de moins.;valeurs_actuelles_user_59;2020-05-19 20:51:00;r1_valeurs_actuelles_article_32;r1_valeurs_actuelles_article_32;r1_valeurs_actuelles_comment_490;valeursactuelles;11;comment;2;20;3;6;
5;2 vigiles, c'est deux vigiles en trop. Qui paie ? La france dépense beaucoup d'argent pour importer des problèmes. Ca fait - 2 .;valeurs_actuelles_user_201;2020-05-19 18:31:00;r1_valeurs_actuelles_article_32;r1_valeurs_actuelles_article_32;r1_valeurs_actuelles_comment_491;valeursactuelles;11;comment;2;128;23;5;
6;Qu'ils repartent tous d'où ils viennent , le plus vite possible . Nous avons suffisamment de racailles à domicile , sans en importer de nouvelles.;valeurs_actuelles_user_172;2020-05-19 18:17:00;r1_valeurs_actuelles_article_32;r1_valeurs_actuelles_article_32;r1_valeurs_actuelles_comment_492;valeursactuelles;11;comment;2;146;24;4;
7;-2;valeurs_actuelles_user_202;2020-05-19 17:59:00;r1_valeurs_actuelles_article_32;r1_valeurs_actuelles_article_32;r1_valeurs_actuelles_comment_493;valeursactuelles;11;comment;2;2;0;3;
8;Il faut le garder!;valeurs_actuelles_user_22;2020-05-19 17:51:00;r1_valeurs_actuelles_article_32;r1_valeurs_actuelles_article_32;r1_valeurs_actuelles_comment_494;valeursactuelles;11;comment;2;18;3;2;
9;Vous voyez en France ils ne sont pas en sécurité ! Le mieux est de les ramener chez eux ! Pour leur bien évidemment.;valeurs_actuelles_user_9;2020-05-19 17:23:00;r1_valeurs_actuelles_article_32;r1_valeurs_actuelles_article_32;r1_valeurs_actuelles_comment_495;valeursactuelles;11;comment;2;116;23;1;
10;https://www.valeursactuelles.com/politique/litalie-regularise-200-000-clandestins-pour-repondre-au-manque-de-main-doeuvre-agricole-119464?page=0;;2020-05-18 20:21:37;r1_valeurs_actuelles_article_54;;r1_valeurs_actuelles_article_54;valeursactuelles;11;article;1;1506;234;0;
11;--> Voilà le modèle du « monde d’après » qui ressemble foutrement au précédent, en pire. Et puis tout ce monde viendra faire nos récoltes, puisque le migronavirus n’a pas de passeport, selon l’autre formule désormais célèbre. Merci les ritals !;valeurs_actuelles_user_41;2020-05-19 13:52:00;r1_valeurs_actuelles_article_54;r1_valeurs_actuelles_article_54;r1_valeurs_actuelles_comment_747;valeursactuelles;11;comment;2;244;40;12;
12;On peut se demander déjà pourquoi l’agriculture italienne suffirait d’un tel manque de main d’œuvre. Mais comment faisait-elle depuis les romains jusqu’à la création de l’UE ? Ah, oui, la main-d’œuvre sous-payée, comme pour les travailleurs détachés, juste le niveau en-dessous. Pour les aides sociales qui vont avec la régularisation, c’est l’État qui paye, selon la fameuse formule Hollandienne. Il reste donc 450.000 en attente de régularisation, tous férus d’agriculture et de travaux divers. -->;valeurs_actuelles_user_41;2020-05-19 13:51:00;r1_valeurs_actuelles_article_54;r1_valeurs_actuelles_article_54;r1_valeurs_actuelles_comment_748;valeursactuelles;11;comment;2;500;74;11;
13;Et une fois naturalisés, hop direction la France le pays aux allocations si généreuses. Quant à dire que les français ne veulent pas de certains métiers est exagéré voire erroné, ça arrangent les employeurs d'embaucher des étrangers Exemple, pour ramasser des pommes, entre un français de 18 ans et des étrangers, réponse d'un employeur, on a moins de contraintes avec des étrangers qu'avec des français surtout s'ils sont jeunes. Que comprenez-vous ? Situation vécue. Et dans le BTP, c'est quasiment un marché aux esclaves quotidien.;valeurs_actuelles_user_29;2020-05-19 13:21:00;r1_valeurs_actuelles_article_54;r1_valeurs_actuelles_article_54;r1_valeurs_actuelles_comment_749;valeursactuelles;11;comment;2;534;84;10;
14;Je préfère ne pas manger des asperges et des fraises, que voir la figure de ces gens là installés en Europe. Ils font peur!;valeurs_actuelles_user_171;2020-05-19 13:00:00;r1_valeurs_actuelles_article_54;r1_valeurs_actuelles_article_54;r1_valeurs_actuelles_comment_750;valeursactuelles;11;comment;2;123;23;9;
15;On liquide les vieux avec le Covid zt on rentre des millions, à l'échelle européenne, d'Africains. Mais il n'y a pas de grand remplacement ...;valeurs_actuelles_user_7;2020-05-19 12:24:00;r1_valeurs_actuelles_article_54;r1_valeurs_actuelles_article_54;r1_valeurs_actuelles_comment_751;valeursactuelles;11;comment;2;142;24;8;
16;Voila ce que donne la Gôche au pouvoir!;valeurs_actuelles_user_22;2020-05-19 09:35:00;r1_valeurs_actuelles_article_54;r1_valeurs_actuelles_article_54;r1_valeurs_actuelles_comment_752;valeursactuelles;11;comment;2;39;7;7;
17;Surtout qu'ils les gardent. En France, nous avons des milliers (millions ?) de chômeurs vivant d'allocations. Pas besoin de main-d'oeuvre étrangère, il suffit de couper les subsides à ceux qui refusent de travailler.;valeurs_actuelles_user_1;2020-05-19 08:39:00;r1_valeurs_actuelles_article_54;r1_valeurs_actuelles_article_54;r1_valeurs_actuelles_comment_753;valeursactuelles;11;comment;2;216;32;6;
18;1000;valeurs_actuelles_user_22;2020-05-19 09:35:00;r1_valeurs_actuelles_article_54;r1_valeurs_actuelles_comment_753;r1_valeurs_actuelles_comment_754;valeursactuelles;11;reply;3;5;0;6;1
19;"Je comprends les Italiens ils ont le même problème qu'en France: nous n'avons pas de main d'œuvre acceptant la pénibilité du travail agricole, la saleté du travail des métaux, etc... et nous avons des millions de chômeurs. Ceux-ci parfois ne se présentent même pas, d'autres viennent et repartent au bout de qqs heures, d'autres n'acceptent pas d'être commandés par une femme. Les immigrés travaillent mieux que les ""français"", un comble. La cause ? l'assistanat et la concentration des chômeurs là où il n'y a pas de travail, la ville.";valeurs_actuelles_user_141;2020-05-19 08:35:00;r1_valeurs_actuelles_article_54;r1_valeurs_actuelles_article_54;r1_valeurs_actuelles_comment_755;valeursactuelles;11;comment;2;536;88;5;
20;Le chômage explose en Europe. Des déficits se creusent surtout en Italie. Et des européistes bienpensants régularisent des transgresseurs de frontières sans aucun problème.;valeurs_actuelles_user_148;2020-05-19 08:02:00;r1_valeurs_actuelles_article_54;r1_valeurs_actuelles_article_54;r1_valeurs_actuelles_comment_756;valeursactuelles;11;comment;2;172;23;4;
21;Salvini ! Au secours !;valeurs_actuelles_user_234;2020-05-19 07:43:00;r1_valeurs_actuelles_article_54;r1_valeurs_actuelles_article_54;r1_valeurs_actuelles_comment_757;valeursactuelles;11;comment;2;22;4;3;
22;Parce qu'ils croient qu'ils vont les mettre au boulot ? Il n'y a pas de chômeurs en Italie ?;valeurs_actuelles_user_82;2020-05-19 02:31:00;r1_valeurs_actuelles_article_54;r1_valeurs_actuelles_article_54;r1_valeurs_actuelles_comment_758;valeursactuelles;11;comment;2;92;18;2;
