"Was immer verschwiegen wird, ist die Tatsache, dass auch unsere Regierung mitverantwortlich ist für die Lage dort, indem schon seit Jahren Terroristen gegen eine gewählte Regierung aufgerüstet werden. Man nennt diese islamistischen Banden allerdings Opposition und Rebellen." . Für die Verantwortung Ihrer Regierung kann ich nichts. Fragen Sie Erdogan, warum dass so sein muss. 	0 0 0 0 0 0 0 0 0 0
Die Nennung des vollen Namens geht rechtlich nicht und allein der Vorname kann nur ein erster Hinweis sein. Ich vermute, dass nicht die Nationalität sondern die Staatsangehörigkeit genannt wird, weshalb die Nennung - und da kann ich nur Zustimmung - des Migrationshintergrund aussagekräftiger wäre. Aber das wird nicht passieren!	2 2 2 2 2 2 2 2 2 2
Also wenn dass so stimmt, dann hat die Bundesregierung hier wohl wirklich Etikettenschwindel betrieben. Warum wird bei dem hier: [URL] Nicht umsetzbare Kriterien Omid lebt außerhalb der so genannten "Safe Zone", also des vermeintlich geschützten Bereiches für unbegleitete Minderjährige. "Es ist sehr hart hier draußen, hier gibt es keinen Schutz für uns Minderjährige. Ständig passieren Überfälle, werden wir angegriffen", erzählt er im ARD-Interview. Auch er habe bei den Behörden im Lager nachgefragt, ob er mit nach Deutschland dürfe. Doch er sei zu alt und lebe im falschen Bereich des Camps. Omid ist nach eigenen Aussagen 15 Jahre alt. so weggeschaut?? Wieso ist dieser 15jährige zu alt?? Sowas ist verbotene eu-rechtswidrige Diskriminierung wegen Alters (Europäische Menschenrechtskonvention Artikel 14) und grundgesetzwidrige Diskriminierung (GG Artikel 3). 	0 0 0 0 0 0 0 0 2 0
EU-Innenkommissarin Ylva Johansson spricht von Einwandern, die im März angekommen sind. Das sind keine Einwanderer, sondern kulturfremde Okkupanten und Asylerpresser, die im Westen Sozialhilfe abgreifen wollen. Wie lange müssen die Bürger der EU diesen Asylantentourismus noch ertragen. Warum wird die EU-Außengrenze nicht endlich wirksam geschützt und hermetisch abgeriegelt, damit Europa nicht noch weiter mit Scheinasylanten geflutet wird?! 	0 0 0 0 0 0 0 0 0 0
Ich teile die Meinung Herrn Friedmans, soweit es darum geht, gegen den Hass und die Verrohung innerhalb der Gesellschaft aktiv anzukämpfen. Das Problem auf die politische Rechte einzuschränken halte ich für unzureichend und ein Zusammenhang mit Hanau erschließt sich in diesem Kontext gar nicht. Der Täter war geistig gestört.   	0 0 0 2 0 0 0 0 2 0
Die Flüchtlinge wissen, was sie tun, und wenn sie kleine Kinder mitnehmen, so ist das ihre Entscheidung, damit hat der Rest der Welt nichts zu tun! Leid gibt es auf der ganzen Welt. Und wenn nun pressewirksam Kinder als Druckmittel eingesetzt werden, so sollten, im Kindeswohl, die ganzen Familien wieder dorthin gebracht werden, wo sie herkommen.	0 0 0 0 0 0 0 0 0 0
Liebe ist das Brot der Armen (alter Spruch). In diesen Kulturen müssen die Frauen ihre Pflicht tun und den schwer arbeitenden Männern gutes tun. Den Herren ist es egal, wer die Kinder nachher ernährt - wer streng glaubt, dem wird geholfen.. zur Not bei uns.	0 0 0 0 0 0 0 0 0 0
Es sind auch Erfahrungswerte, wenn bunt gefärbte Haare und merkwürdige Tätowierungen argwöhnisch notiert werden. Es sind bestimmte Charaktere, die sich dafür entscheiden. Diese Menschen zu diskriminieren ist zwar falsch, aber ein zweiter Blick berechtigt.	0 0 0 0 0 0 0 0 0 0
... sind in den jeweiligen Botschaften/ Konsulate bzw ständigen Vertretungen des möglichen Ziellandes im entsprechenden Herkunftsland zu stellen, und zwar unter Vorlage eines entsprechenden Identitätsnachweises und der Angabe von hinreichenden Gründen welche dementsprechend nachzuweisen sind. So wird geklärt wer schutzbedürftig und somit Asylberichtigter ist. Weiterhin ist Aufklärung diesbezüglich notwendig welcher Personenkreis überhaupt eine Aussicht auf positiven Entscheid hat. Gelder an "Warlords" oder "Deals" mit Transitländern kosten unnötige Steuergelder und helfen niemandem.	0 2 0 0 0 0 2 0 2 0
Die Türkei wird nicht verurteilt, wenn sie Waffen liefern und mit Panzern in syrisches Gebiet einmarschieren. Warum dürfen das Nato-Länder? Was haben sich denn für Kräfte in Idlib festgesetzt? Sind IS-Verbrecher zu Revolutionäre mutiert? Warum spricht man nicht mit der syrischen Regierung. Warum aber mit einem ägyptischen Putschgeneral? 	0 0 0 0 0 0 0 0 0 0
s.o. 	2 2 2 2 2 2 2 2 2 2
Was wir brauchen, sind gut ausgebildete Menschen, die wir - als Einwanderer - selbst auswählen. Alle anderen (außer anzuerkennenden Asylbewerbern) brauchen wir nicht und müssen sie ablehnen. Für die gilt : Ihr bringt uns nix, kostet nur und das Boot ist voll von Euch.	2 2 2 2 2 2 0 2 2 2
Werter MUC62 D A N K E ! ! ! Der war jetzt echt gut ! MkuvG ! 	0 0 0 0 0 2 0 0 0 0
Die unaufhörlichen Flüchtlings Randale werden doch immer noch von den meisten Mitmenschen toleriert was man an den steigenden Werten im sogenannte Politbarometer erkennen kann. Wenn sie denn stimmen sollten. Aber was stimmt denn überhaupt noch, ich persönlich vertraue dieser Regierung seit 2115, seit dieser unsagbaren Grenzöffnung nicht die Bohne mehr, in keinster Weise. 	0 0 0 0 0 0 0 0 0 0
Ich finde es gut, daß uns die „Junge Freiheit“ in den ‚Genuß‘ derartiger Rezensionen kommen läßt. Da ich seit Jahren keinerlei öffentliche Me- dien mehr in mich hineinwürge, habe ich so einen recht guten Über- blick, den ich auch mit dem aus anderen freien Medien zusammen- mixe, über das, was Bärbel Bohley schon kurz nach dem Zusammen- bruch der DDR in Worte faßte. 	0 0 0 0 0 0 0 0 0 0
Was wollen Sie denn dort noch ersehen? Aber gut, hier noch etwas mehr: 2000 EUR brutto Steuerklasse 1 Keine Zuschläge o. dgl. Die bei Einstellung zugesagte Lohnerhöhung habe ich nie erhalten, die Zusage einer abwechslungsreichen Tätigkeit hatte sich nach ein paar Monaten auch irgendwie verflüchtigt. Ja, ich war so schlecht bezahlt. 	2 2 2 2 2 2 2 2 2 2
Ich wohne in der Provinz, dort ist die digitale Revolution nicht angekommen und sie wird auch nicht ankommen. Sie wird auch keine Arbeitnehmer überflüssig machen. Warum? Weil sie viel zu viel Strom verbraucht und unsere selbstgesteckten  Klimaziele ad absurdum führen würde. Deutschland wird viel mehr ein Entwicklungsland werden. Der Abbau der Industrie läuft auf Hochtouren. Das ist gut beobachtbar.	0 0 0 0 0 0 0 0 0 0
